purchase,unit,geo\time	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,INX_Q,AT	128.16 	124.43 	124.04 	122.53 	119.63 	118.56 	116.90 	114.54 	115.31 	113.79 	110.05 	110.19 	110.09 	107.36 	102.12 	104.53 	99.76 	93.59 	96.32 	94.89 	95.85 	94.01 	91.90 	95.11 	91.46 	90.74 	89.21 	89.26 	86.56 	85.36 	83.38 	82.79 	80.99 	78.69 	78.42 	78.46 	75.96 	73.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,BE	111.63 p	111.16 	109.76 	109.80 	107.84 	107.25 	106.75 	107.48 	104.31 	104.63 	103.56 p	104.01 p	101.31 p	100.23 p	100.65 p	101.68 p	99.58 p	98.09 p	100.73 	99.83 	98.92 	98.06 	98.89 	100.61 	98.95 	99.29 	99.16 	100.09 	98.59 	98.62 	97.87 	98.28 	96.13 	95.05 	94.83 	94.34 	92.00 	90.99 	89.79 	90.45 	87.85 	88.61 	89.78 	90.96 	89.08 	87.79 	86.95 	86.44 	84.35 	82.45 	80.46 	79.79 	77.02 	74.83 	73.36 	71.64 	68.35 	66.35 
DW_EXST,INX_Q,BG	130.96 p	129.60 	128.24 	126.41 	126.21 	123.43 	121.84 	119.47 	117.23 	112.55 	110.77 	107.75 	107.35 	103.50 	101.85 	98.55 	99.88 	99.73 b	98.30 	97.65 	97.71 	97.39 	97.17 	97.23 	97.37 	97.43 	98.36 	99.05 	99.53 	99.37 	99.77 	101.32 	102.18 	103.84 	106.32 	107.89 	109.18 	110.01 	112.61 	114.82 	120.84 	133.85 	152.82 	159.43 	154.71 	146.13 	136.79 	125.77 	117.02 	111.07 	101.60 	96.29 	92.09 	90.60 	86.51 	84.47 	82.10 	78.73 
DW_EXST,INX_Q,CY	102.33 p	101.84 	101.75 	101.15 	99.52 	101.91 	101.08 	100.38 	101.65 	100.02 	97.84 	100.00 	99.20 	100.37 	99.64 	100.84 	100.16 	99.36 	101.13 	104.21 	99.12 	102.04 	104.10 	101.63 	100.22 	97.84 	106.42 	105.15 	104.94 	105.78 	109.66 	112.32 	112.43 	107.70 	111.87 	109.22 	106.10 	107.92 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
DW_EXST,INX_Q,CZ	139.10 	136.20 	133.60 p	130.90 	127.90 	124.70 	122.20 p	120.90 	118.90 	116.20 	113.00 p	107.90 	105.10 	103.10 	101.70 p	100.60 	99.30 	98.40 	97.40 	96.60 	95.80 	94.90 	93.80 	94.00 	94.10 	93.60 	93.60 	94.00 	94.10 	94.00 	94.40 	95.30 	95.70 	95.20 	95.00 	94.80 	94.90 	94.90 	94.80 	95.10 	96.10 	99.70 	102.60 	103.40 	101.70 	97.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,DE	127.90 p	125.30 p	125.40 	123.50 	121.10 	118.60 	117.80 	115.30 	113.50 	111.20 	110.50 	109.00 	107.00 	103.80 	101.70 	100.40 	100.10 	97.80 	96.10 	96.30 	95.90 	94.00 	93.30 	93.10 	93.20 	91.40 	91.60 	90.40 	89.00 	87.80 	87.20 	86.30 	87.00 	86.20 	83.60 	84.30 	84.60 	83.10 	84.20 	83.00 	83.60 	82.10 	82.60 	82.20 	84.00 	83.80 	82.50 	82.40 	82.60 	81.40 	84.50 	83.80 	85.40 	84.70 	83.40 	86.10 	84.20 	85.70 
DW_EXST,INX_Q,DK	119.15 p	116.14 	113.62 	116.17 	115.72 	114.09 	109.95 	112.07 	110.60 	107.65 	105.32 	107.05 	105.61 	103.01 	101.06 	101.05 	100.60 	97.29 	93.77 	94.31 	94.78 	91.29 	90.04 	91.34 	91.20 	88.17 	87.18 	87.65 	87.44 	86.15 	86.18 	89.36 	92.59 	90.59 	91.55 	92.55 	91.78 	89.84 	89.22 	89.55 	88.71 	87.78 	93.80 	101.94 	104.77 	104.04 	105.18 	107.41 	107.35 	106.14 	105.77 	106.87 	104.85 	98.85 	92.27 	86.58 	80.41 	76.44 
DW_EXST,INX_Q,EE	120.84 	118.73 	119.52 	116.30 	113.54 	110.74 	112.61 	110.75 	110.51 	108.33 	106.37 	104.31 	104.68 	102.05 	101.39 	99.77 	102.68 	96.17 	96.10 	96.15 	96.57 	92.46 	89.57 	88.21 	85.55 	80.21 	78.97 	78.78 	76.06 	74.70 	72.90 	72.32 	73.92 	72.60 	67.46 	67.80 	66.84 	66.89 	62.64 	60.55 	65.04 	72.12 	92.07 	107.34 	113.50 	111.73 	116.02 	119.91 	123.52 	116.83 	116.12 	109.55 	104.30 	90.28 	77.95 	68.16 	63.17 	56.19 
DW_EXST,INX_Q,ES	123.68 	121.96 	120.62 	120.30 	117.69 	114.76 	113.30 	112.07 	109.98 	107.93 	105.74 	105.05 	103.98 	102.51 	101.24 	101.53 	100.85 	96.37 	97.38 	97.13 	97.12 	95.32 	95.71 	96.99 	96.89 	97.00 	103.72 	105.43 	110.24 	114.51 	120.67 	126.05 	130.81 	132.01 	139.82 	139.45 	142.60 	140.84 	142.13 	141.96 	142.62 	142.81 	147.26 	154.72 	160.56 	163.29 	164.97 	169.26 	168.85 	164.36 	161.07 	157.45 	153.11 	145.50 	139.63 	: 	: 	: 
DW_EXST,INX_Q,FI	102.35 	100.64 	100.87 	101.13 	102.28 	100.72 	100.64 	101.40 	102.16 	100.71 	99.88 	100.75 	101.06 	99.44 	99.62 	100.25 	100.48 	99.65 	99.54 	100.59 	101.08 	100.60 	100.87 	101.47 	101.97 	101.30 	100.80 	100.72 	101.04 	100.16 	98.44 	99.78 	100.71 	99.06 	97.52 	97.74 	97.12 	95.37 	92.81 	90.15 	88.37 	85.84 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
DW_EXST,INX_Q,FR	109.47 p	108.33 	108.34 	108.77 	106.12 	105.17 	104.93 	105.67 	103.16 	102.14 	101.62 	102.33 	100.09 	99.67 	100.12 	101.01 	99.46 	99.40 	100.56 	102.89 	102.20 	101.87 	103.19 	104.41 	103.62 	103.81 	105.18 	106.90 	105.96 	105.91 	107.39 	108.68 	106.21 	103.99 	103.57 	102.40 	99.20 	97.18 	96.27 	96.09 	94.31 	96.05 	100.42 	104.22 	103.70 	103.67 	104.38 	103.62 	101.18 	99.43 	98.74 	98.01 	94.74 	91.88 	89.75 	88.13 	83.90 	80.39 
DW_EXST,INX_Q,HR	123.40 	119.52 	116.00 	114.68 	111.47 	111.59 	110.46 	106.65 	106.17 	102.51 	101.97 	102.30 	101.23 	101.73 	100.18 	99.37 	99.33 	101.12 	100.07 	100.87 	102.83 	101.96 	102.01 	103.05 	103.19 	102.69 	104.12 	107.50 	107.95 	109.59 	110.26 	110.58 	109.90 	109.56 	110.36 	110.63 	111.94 	111.75 	114.50 	114.55 	117.18 	123.01 	125.24 	127.67 	125.45 	125.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,HU	162.61 p	159.92 	152.34 	148.33 	142.27 	138.27 	131.57 	129.06 	125.26 	122.19 	117.15 	115.41 	112.06 	109.52 	104.80 	103.04 	98.70 	93.46 	91.20 	89.04 	87.30 	85.58 	83.93 	85.14 	85.01 	84.87 	84.61 	86.33 	87.23 	90.49 	89.61 	90.13 	91.34 	92.07 	92.38 	94.13 	94.35 	95.16 	92.27 	95.14 	96.33 	99.61 	100.33 	102.60 	102.19 	100.97 	102.84 	101.76 	97.22 	94.86 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IE	134.94 p	134.44 	136.33 	135.10 	131.79 	129.12 	127.45 	123.93 	117.03 	114.35 	112.90 	109.94 	104.49 	103.23 	103.00 	101.63 	98.66 	96.71 	97.23 	94.36 	86.91 	81.97 	80.53 	77.87 	73.34 	73.47 	75.90 	75.32 	74.06 	75.62 	79.05 	83.20 	89.07 	94.82 	99.91 	104.48 	106.97 	110.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IS	147.15 	146.19 	145.24 	143.46 	140.52 	138.82 	136.94 	135.65 	130.12 	122.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IT	98.30 p	96.80 	97.40 	97.70 	98.70 	98.10 	98.10 	99.00 	99.50 	99.10 	99.60 	100.60 	100.50 	99.70 	99.60 	100.40 	100.20 	99.80 	102.10 	104.10 	105.60 	107.00 	108.40 	110.10 	112.20 	112.70 	116.80 	120.50 	123.30 	125.10 	126.30 	128.00 	128.90 	126.00 	126.80 	127.80 	127.00 	125.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,LT	132.36 	129.38 	125.92 	124.80 	123.81 	120.58 	117.66 	117.52 	115.30 	111.84 	110.25 	108.16 	105.59 	101.86 	100.84 	101.90 	100.52 	96.74 	96.64 	99.19 	97.31 	93.89 	92.43 	89.77 	91.13 	88.96 	87.92 	88.30 	89.17 	89.18 	90.81 	90.31 	89.82 	90.17 	86.80 	85.36 	85.97 	82.80 	86.29 	87.19 	88.16 	94.71 	119.60 	133.09 	134.86 	131.04 	130.09 	128.70 	120.68 	113.30 	103.06 	93.69 	86.36 	85.35 	: 	: 	: 	: 
DW_EXST,INX_Q,LU	133.08 	128.22 	125.69 	121.41 	119.51 	117.32 	113.24 	112.65 	112.94 	110.19 	109.18 	108.03 	104.78 	102.85 	100.53 	101.09 	100.16 	98.22 	97.62 	96.67 	96.28 	94.24 	92.45 	91.75 	91.55 	90.30 	90.85 	88.25 	88.30 	86.88 	88.43 	83.74 	85.48 	83.19 	82.86 	80.75 	80.22 	81.35 	77.97 	75.99 	77.23 	75.90 	79.32 	80.49 	80.59 	78.09 	78.90 	80.52 	77.22 	77.14 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,LV	142.87 p	135.61 	134.64 	130.14 	130.71 	125.46 	119.91 	119.36 	120.17 	113.23 	111.50 	110.53 	108.62 	103.37 	102.15 	100.89 	100.50 	96.47 	97.74 	106.45 	102.87 	101.72 	99.09 	97.31 	98.37 	93.48 	92.90 	90.65 	90.19 	87.61 	86.90 	90.40 	90.68 	90.79 	86.06 	85.65 	83.19 	83.47 	91.44 	92.60 	96.51 	105.18 	127.29 	152.94 	163.92 	168.20 	155.04 	160.34 	150.36 	143.09 	127.59 	115.97 	104.40 	93.33 	: 	: 	: 	: 
DW_EXST,INX_Q,MT	121.55 p	118.03 p	125.10 p	123.37 p	110.59 	112.88 	117.68 	113.59 	112.87 	106.18 	113.59 	109.55 	104.96 	99.03 	108.04 	102.86 	97.25 	91.85 	99.01 	93.22 	94.49 	94.36 	97.06 	96.89 	86.05 	90.04 	88.85 	95.93 	83.95 	87.42 	83.61 	89.01 	87.87 	83.54 	80.92 	89.25 	89.94 	83.46 	79.88 	92.43 	87.83 	96.09 	104.20 	100.35 	85.94 	92.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,NL	130.38 	128.93 	126.73 	124.91 	121.59 	119.44 	116.32 	114.39 	111.72 	109.60 	107.48 	106.35 	103.72 	102.65 	101.31 	100.69 	99.37 	98.63 	97.89 	97.84 	96.92 	96.33 	95.80 	96.14 	95.77 	97.75 	100.05 	100.74 	104.87 	106.91 	108.29 	110.20 	111.03 	111.51 	112.12 	113.42 	113.32 	113.16 	113.35 	114.29 	115.86 	118.89 	119.68 	120.60 	119.26 	119.16 	117.73 	117.33 	115.57 	114.19 	112.94 	112.42 	111.00 	109.68 	108.06 	107.44 	106.14 	104.85 
DW_EXST,INX_Q,NO	120.24 	117.43 	114.53 	116.86 	117.64 	113.52 	111.25 	113.40 	116.73 	116.02 	111.65 	110.69 	107.45 	103.22 	99.60 	101.08 	100.98 	98.35 	94.45 	94.56 	93.94 	90.69 	88.68 	91.45 	92.77 	90.96 	88.25 	88.66 	87.51 	85.01 	82.14 	82.47 	82.20 	79.98 	76.08 	76.13 	76.51 	73.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PL	124.98 	121.35 	118.76 	116.66 	114.23 	111.02 	109.24 	108.01 	106.96 	104.30 	104.40 	104.01 	102.14 	99.64 	99.97 	100.49 	100.42 	99.13 	99.21 	99.46 	100.07 	98.64 	98.66 	98.52 	97.70 	97.38 	99.44 	101.26 	103.01 	103.73 	105.79 	107.11 	108.73 	107.55 	107.34 	108.40 	108.73 	106.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PT	146.30 	142.08 	136.60 	134.11 	132.90 	129.18 	124.72 	122.82 	118.03 	114.34 	111.53 	110.18 	108.34 	104.66 	102.14 	100.96 	99.89 	97.01 	97.19 	95.95 	96.60 	95.02 	94.55 	92.01 	91.51 	90.72 	93.94 	92.92 	94.40 	95.91 	97.29 	101.38 	104.00 	106.52 	107.68 	109.38 	110.72 	110.42 	110.04 	109.17 	108.58 	106.91 	107.53 	110.08 	111.53 	110.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,RO	124.26 	122.01 	121.51 	120.62 	121.84 	117.94 	115.39 	113.88 	115.10 	110.53 	107.93 	106.12 	106.48 	103.48 	100.48 	98.65 	99.89 	100.98 	97.20 	95.57 	96.35 	97.74 	97.10 	97.67 	100.05 	100.58 	96.55 	96.53 	100.45 	101.07 	97.63 	102.16 	110.38 	111.80 	117.36 	120.79 	124.86 	126.44 	135.20 	129.12 	130.02 	135.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SE	113.99 	111.89 	112.16 	113.06 	112.36 	111.90 	113.47 	118.10 	116.84 	114.72 	111.57 	109.70 	106.97 	105.91 	104.48 	102.41 	98.32 	94.79 	90.46 	88.71 	85.51 	83.38 	80.84 	79.66 	78.10 	75.99 	74.59 	74.69 	73.80 	72.55 	71.51 	73.52 	73.82 	74.18 	73.66 	72.24 	71.31 	70.45 	69.02 	67.21 	65.08 	62.59 	61.03 	65.58 	66.23 	64.72 	64.50 	66.98 	64.50 	60.41 	57.80 	57.61 	56.00 	54.04 	52.05 	50.45 	48.09 	46.21 
DW_EXST,INX_Q,SI	130.15 	128.19 	127.47 	123.19 	120.16 	116.67 	115.66 	112.51 	111.54 	107.85 	105.54 	104.55 	103.62 	101.38 	98.10 	99.32 	102.20 	100.37 	98.87 	98.58 	99.72 	100.60 	103.84 	105.62 	109.30 	108.61 	109.37 	111.96 	116.28 	113.59 	116.45 	119.34 	120.47 	121.58 	117.24 	117.96 	118.82 	120.67 	117.75 	114.44 	114.66 	118.16 	122.14 	129.02 	125.87 	126.36 	123.93 	121.60 	119.13 	115.84 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SK	134.15 	128.42 	125.33 	121.88 	121.59 	118.89 	116.06 	114.94 	113.44 	106.93 	110.48 	108.07 	106.02 	103.21 	101.32 	100.28 	100.04 	98.37 	95.39 	94.06 	93.77 	92.65 	92.78 	92.51 	93.02 	92.61 	90.16 	91.88 	91.79 	91.70 	91.60 	93.52 	94.32 	94.51 	93.99 	93.82 	94.48 	94.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,UK	115.70 p	114.72 	116.31 	116.79 	114.50 	112.92 	113.45 	113.56 	111.01 	108.51 	108.36 	108.57 	106.23 	104.09 	103.05 	101.91 	98.62 	96.43 	96.81 	96.71 	93.53 	90.29 	89.10 	88.75 	86.57 	84.90 	85.31 	86.39 	85.27 	83.72 	84.60 	85.82 	84.72 	84.02 	85.80 	87.85 	86.58 	84.97 	84.56 	82.84 	79.58 	78.38 	82.89 	88.78 	92.22 	92.78 	95.62 	95.67 	92.97 	89.56 	88.26 	86.61 	83.83 	80.73 	80.13 	80.08 	78.12 	75.92 
DW_EXST,RCH_A,AT	7.1 	5.0 	6.1 	7.0 	3.7 	4.2 	6.2 	3.9 	4.7 	6.0 	7.8 	5.4 	10.4 	14.7 	6.0 	10.2 	4.1 	-0.4 	4.8 	-0.2 	4.8 	3.6 	3.0 	6.6 	5.7 	6.3 	7.0 	7.8 	6.9 	8.5 	6.3 	5.5 	6.6 	6.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,BE	3.5 p	3.6 	2.8 	2.2 	3.4 	2.5 	3.1 p	3.3 p	3.0 p	4.4 p	2.9 p	2.3 p	1.7 p	2.2 p	-0.1 p	1.9 p	0.7 p	0.0 p	1.9 	-0.8 	0.0 	-1.2 	-0.3 	0.5 	0.4 	0.7 	1.3 	1.8 	2.6 	3.8 	3.2 	4.2 	4.5 	4.5 	5.6 	4.3 	4.7 	2.7 	0.0 	-0.6 	-1.4 	0.9 	3.3 	5.2 	5.6 	6.5 	8.1 	8.3 	9.5 	10.2 	9.7 	11.4 	12.7 	12.8 	: 	: 	: 	: 
DW_EXST,RCH_A,BG	3.8 p	5.0 	5.3 	5.8 	7.7 	9.7 	10.0 	10.9 	9.2 	8.7 	8.8 	9.3 	7.5 	3.8 	3.6 	0.9 	2.2 	2.4 b	1.2 	0.4 	0.3 	0.0 	-1.2 	-1.8 	-2.2 	-2.0 	-1.4 	-2.2 	-2.6 	-4.3 	-6.2 	-6.1 	-6.4 	-5.6 	-5.6 	-6.0 	-9.6 	-17.8 	-26.3 	-28.0 	-21.9 	-8.4 	11.7 	26.8 	32.2 	31.6 	34.6 	30.6 	27.1 	22.6 	17.4 	14.0 	12.2 	15.1 	: 	: 	: 	: 
