purchase,unit,geo\time	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,RCH_A,CY	2.8 p	-0.1 	0.7 	0.8 	-2.1 	1.9 	3.3 	0.4 	2.5 	-0.3 	-1.8 	-0.8 	-1.0 	1.0 	-1.5 	-3.2 	1.0 	-2.6 	-2.9 	2.5 	-1.1 	4.3 	-2.2 	-3.3 	-4.5 	-7.5 	-3.0 	-6.4 	-6.7 	-1.8 	-2.0 	2.8 	6.0 	-0.2 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,CZ	8.8 	9.2 	9.3 p	8.3 	7.6 	7.3 	8.1 p	12.0 	13.1 	12.7 	11.1 p	7.3 	5.8 	4.8 	4.4 p	4.1 	3.7 	3.7 	3.8 	2.8 	1.8 	1.4 	0.2 	0.0 	0.0 	-0.4 	-0.8 	-1.4 	-1.7 	-1.3 	-0.6 	0.5 	0.8 	0.3 	0.2 	-0.3 	-1.2 	-4.8 	-7.6 	-8.0 	-5.5 	2.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,DE	5.6 p	5.6 p	6.5 	7.1 	6.7 	6.7 	6.6 	5.8 	6.1 	7.1 	8.7 	8.6 	6.9 	6.1 	5.8 	4.3 	4.4 	4.0 	3.0 	3.4 	2.9 	2.8 	1.9 	3.0 	4.7 	4.1 	5.0 	4.8 	2.3 	1.9 	4.3 	2.4 	2.8 	3.7 	-0.7 	1.6 	1.2 	1.2 	1.9 	1.0 	-0.5 	-2.0 	0.1 	-0.2 	1.7 	2.9 	-2.4 	-1.7 	-3.3 	-3.9 	1.3 	-2.7 	1.4 	-1.2 	: 	: 	: 	: 
DW_EXST,RCH_A,DK	3.0 p	1.8 	3.3 	3.7 	4.6 	6.0 	4.4 	4.7 	4.7 	4.5 	4.2 	5.9 	5.0 	5.9 	7.8 	7.1 	6.1 	6.6 	4.1 	3.3 	3.9 	3.5 	3.3 	4.2 	4.3 	2.3 	1.2 	-1.9 	-5.6 	-4.9 	-5.9 	-3.4 	0.9 	0.8 	2.6 	3.4 	3.5 	2.3 	-4.9 	-12.2 	-15.3 	-15.6 	-10.8 	-5.1 	-2.4 	-2.0 	-0.6 	0.5 	2.4 	7.4 	14.6 	23.4 	30.4 	29.3 	: 	: 	: 	: 
DW_EXST,RCH_A,EE	6.4 	7.2 	6.1 	5.0 	2.7 	2.2 	5.9 	6.2 	5.6 	6.2 	4.9 	4.6 	1.9 	6.1 	5.5 	3.8 	6.3 	4.0 	7.3 	9.0 	12.9 	15.3 	13.4 	12.0 	12.5 	7.4 	8.3 	8.9 	2.9 	2.9 	8.1 	6.7 	10.6 	8.5 	7.7 	12.0 	2.8 	-7.3 	-32.0 	-43.6 	-42.7 	-35.5 	-20.6 	-10.5 	-8.1 	-4.4 	-0.1 	9.5 	18.4 	29.4 	49.0 	60.7 	65.1 	60.7 	: 	: 	: 	: 
DW_EXST,RCH_A,ES	5.1 	6.3 	6.5 	7.3 	7.0 	6.3 	7.1 	6.7 	5.8 	5.3 	4.4 	3.5 	3.1 	6.4 	4.0 	4.5 	3.8 	1.1 	1.7 	0.1 	0.2 	-1.7 	-7.7 	-8.0 	-12.1 	-15.3 	-14.0 	-16.4 	-15.7 	-13.3 	-13.7 	-9.6 	-8.3 	-6.3 	-1.6 	-1.8 	0.0 	-1.4 	-3.5 	-8.2 	-11.2 	-12.5 	-10.7 	-8.6 	-4.9 	-0.7 	2.4 	7.5 	10.3 	13.0 	15.4 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,FI	0.1 	-0.1 	0.2 	-0.3 	0.1 	0.0 	0.8 	0.6 	1.1 	1.3 	0.3 	0.5 	0.6 	-0.2 	0.1 	-0.3 	-0.6 	-0.9 	-1.3 	-0.9 	-0.9 	-0.7 	0.1 	0.7 	0.9 	1.1 	2.4 	0.9 	0.3 	1.1 	0.9 	2.1 	3.7 	3.9 	5.1 	8.4 	9.9 	11.1 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,FR	3.2 p	3.0 	3.2 	2.9 	2.9 	3.0 	3.3 	3.3 	3.1 	2.5 	1.5 	1.3 	0.6 	0.3 	-0.4 	-1.8 	-2.7 	-2.4 	-2.5 	-1.5 	-1.4 	-1.9 	-1.9 	-2.3 	-2.2 	-2.0 	-2.1 	-1.6 	-0.2 	1.8 	3.7 	6.1 	7.1 	7.0 	7.6 	6.6 	5.2 	1.2 	-4.1 	-7.8 	-9.1 	-7.4 	-3.8 	0.6 	2.5 	4.3 	5.7 	5.7 	6.8 	8.2 	10.0 	11.2 	12.9 	14.3 	: 	: 	: 	: 
DW_EXST,RCH_A,HR	10.7 	7.1 	5.0 	7.5 	5.0 	8.9 	8.3 	4.3 	4.9 	0.8 	1.8 	2.9 	1.9 	0.6 	0.1 	-1.5 	-3.4 	-0.8 	-1.9 	-2.1 	-0.3 	-0.7 	-2.0 	-4.1 	-4.4 	-6.3 	-5.6 	-2.8 	-1.8 	0.0 	-0.1 	0.0 	-1.8 	-2.0 	-3.6 	-3.4 	-4.5 	-9.2 	-8.6 	-10.3 	-6.6 	-1.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,HU	14.3 p	15.7 	15.8 	14.9 	13.6 	13.2 	12.3 	11.8 	11.8 	11.6 	11.8 	12.0 	13.5 	17.2 	14.9 	15.7 	13.1 	9.2 	8.7 	4.6 	2.7 	0.8 	-0.8 	-1.4 	-2.5 	-6.2 	-5.6 	-4.2 	-4.5 	-1.7 	-3.0 	-4.2 	-3.2 	-3.2 	0.1 	-1.1 	-2.1 	-4.5 	-8.0 	-7.3 	-5.7 	-1.3 	-2.4 	0.8 	5.1 	6.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IE	2.4 p	4.1 	7.0 	9.0 	12.6 	12.9 	12.9 	12.7 	12.0 	10.8 	9.6 	8.2 	5.9 	6.7 	5.9 	7.7 	13.5 	18.0 	20.7 	21.2 	18.5 	11.6 	6.1 	3.4 	-1.0 	-2.8 	-4.0 	-9.5 	-16.9 	-20.2 	-20.9 	-20.4 	-16.7 	-14.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IS	4.7 	5.3 	6.1 	5.8 	8.0 	13.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IT	-0.4 p	-1.3 	-0.7 	-1.3 	-0.8 	-1.0 	-1.5 	-1.6 	-1.0 	-0.6 	0.0 	0.2 	0.3 	-0.1 	-2.4 	-3.6 	-5.1 	-6.7 	-5.8 	-5.4 	-5.9 	-5.1 	-7.2 	-8.6 	-9.0 	-9.9 	-7.5 	-5.9 	-4.3 	-0.7 	-0.4 	0.2 	1.5 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LT	6.9 	7.3 	7.0 	6.2 	7.4 	7.8 	6.7 	8.7 	9.2 	9.8 	9.3 	6.1 	5.0 	5.3 	4.3 	2.7 	3.3 	3.0 	4.6 	10.5 	6.8 	5.5 	5.1 	1.7 	2.2 	-0.2 	-3.2 	-2.2 	-0.7 	-1.1 	4.6 	5.8 	4.5 	8.9 	0.6 	-2.1 	-2.5 	-12.6 	-27.9 	-34.5 	-34.6 	-27.7 	-8.1 	3.4 	11.8 	15.7 	26.2 	37.4 	39.7 	32.7 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LU	11.4 	9.3 	11.0 	7.8 	5.8 	6.5 	3.7 	4.3 	7.8 	7.1 	8.6 	6.9 	4.6 	4.7 	3.0 	4.6 	4.0 	4.2 	5.6 	5.4 	5.2 	4.4 	1.8 	4.0 	3.7 	3.9 	2.7 	5.4 	3.3 	4.4 	6.7 	3.7 	6.6 	2.3 	6.3 	6.3 	3.9 	7.2 	-1.7 	-5.6 	-4.2 	-2.8 	0.5 	0.0 	4.4 	1.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LV	9.3 p	8.1 	12.3 	9.0 	8.8 	10.8 	7.5 	8.0 	10.6 	9.5 	9.2 	9.6 	8.1 	7.2 	4.5 	-5.2 	-2.3 	-5.2 	-1.4 	9.4 	4.6 	8.8 	6.7 	7.3 	9.1 	6.7 	6.9 	0.3 	-0.5 	-3.5 	1.0 	5.5 	9.0 	8.8 	-5.9 	-7.5 	-13.8 	-20.6 	-28.2 	-39.5 	-41.1 	-37.5 	-17.9 	-4.6 	9.0 	17.5 	21.5 	38.3 	44.0 	53.3 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,MT	9.9 p	4.6 p	6.3 p	8.6 p	-2.0 	6.3 	3.6 	3.7 	7.5 	7.2 	5.1 	6.5 	7.9 	7.8 	9.1 	10.3 	2.9 	-2.7 	2.0 	-3.8 	9.8 	4.8 	9.2 	1.0 	2.5 	3.0 	6.3 	7.8 	-4.5 	4.6 	3.3 	-0.3 	-2.3 	0.1 	1.3 	-3.4 	2.4 	-13.1 	-23.3 	-7.9 	2.2 	4.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,NL	7.2 	7.9 	8.9 	9.2 	8.8 	9.0 	8.2 	7.6 	7.7 	6.8 	6.1 	5.6 	4.4 	4.1 	3.5 	2.9 	2.5 	2.4 	2.2 	1.8 	1.2 	-1.5 	-4.2 	-4.6 	-8.7 	-8.6 	-7.6 	-8.6 	-5.5 	-4.1 	-3.4 	-2.8 	-2.0 	-1.5 	-1.1 	-0.8 	-2.2 	-4.8 	-5.3 	-5.2 	-2.9 	-0.2 	1.7 	2.8 	3.2 	4.4 	4.2 	4.4 	4.1 	4.1 	4.5 	4.6 	4.6 	4.6 	: 	: 	: 	: 
DW_EXST,RCH_A,NO	2.2 	3.4 	2.9 	3.1 	0.8 	-2.2 	-0.4 	2.4 	8.6 	12.4 	12.1 	9.5 	6.4 	5.0 	5.5 	6.9 	7.5 	8.4 	6.5 	3.4 	1.3 	-0.3 	0.5 	3.1 	6.0 	7.0 	7.4 	7.5 	6.5 	6.3 	8.0 	8.3 	7.4 	8.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,PL	9.4 	9.3 	8.7 	8.0 	6.8 	6.4 	4.6 	3.8 	4.7 	4.7 	4.4 	3.5 	1.7 	0.5 	0.8 	1.0 	0.3 	0.5 	0.6 	1.0 	2.4 	1.3 	-0.8 	-2.7 	-5.2 	-6.1 	-6.0 	-5.5 	-5.3 	-3.6 	-1.4 	-1.2 	0.0 	1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,PT	10.1 	10.0 	9.5 	9.2 	12.6 	13.0 	11.8 	11.5 	8.9 	9.2 	9.2 	9.1 	8.5 	7.9 	5.1 	5.2 	3.4 	2.1 	2.8 	4.3 	5.6 	4.7 	0.6 	-1.0 	-3.1 	-5.4 	-3.4 	-8.3 	-9.2 	-10.0 	-9.6 	-7.3 	-6.1 	-3.5 	-2.1 	0.2 	2.0 	3.3 	2.3 	-0.8 	-2.6 	-3.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,RO	2.0 	3.5 	5.3 	5.9 	5.9 	6.7 	6.9 	7.3 	8.1 	6.8 	7.4 	7.6 	6.6 	2.5 	3.4 	3.2 	3.7 	3.3 	0.1 	-2.2 	-3.7 	-2.8 	0.6 	1.2 	-0.4 	-0.5 	-1.1 	-5.5 	-9.0 	-9.6 	-16.8 	-15.4 	-11.6 	-11.6 	-13.2 	-6.5 	-4.0 	-7.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,SE	1.5 	0.0 	-1.2 	-4.3 	-3.8 	-2.5 	1.7 	7.7 	9.2 	8.3 	6.8 	7.1 	8.8 	11.7 	15.5 	15.4 	15.0 	13.7 	11.9 	11.4 	9.5 	9.7 	8.4 	6.7 	5.8 	4.7 	4.3 	1.6 	0.0 	-2.2 	-2.9 	1.8 	3.5 	5.3 	6.7 	7.5 	9.6 	12.6 	13.1 	2.5 	-1.7 	-3.3 	-5.4 	-2.1 	2.7 	7.1 	11.6 	16.3 	15.2 	11.8 	11.0 	14.2 	16.4 	16.9 	: 	: 	: 	: 
DW_EXST,RCH_A,SI	8.3 	9.9 	10.2 	9.5 	7.7 	8.2 	9.6 	7.6 	7.6 	6.4 	7.6 	5.3 	1.4 	1.0 	-0.8 	0.8 	2.5 	-0.2 	-4.8 	-6.7 	-8.8 	-7.4 	-5.1 	-5.7 	-6.0 	-4.4 	-6.1 	-6.2 	-3.5 	-6.6 	-0.7 	1.2 	1.4 	0.8 	-0.4 	3.1 	3.6 	2.1 	-3.6 	-11.3 	-8.9 	-6.5 	-1.4 	6.1 	5.7 	9.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,SK	10.3 	8.0 	8.0 	6.0 	7.2 	11.2 	5.1 	6.4 	7.0 	3.6 	9.0 	7.8 	6.0 	4.9 	6.2 	6.6 	6.7 	6.2 	2.8 	1.7 	0.8 	0.0 	2.9 	0.7 	1.3 	1.0 	-1.6 	-1.8 	-2.7 	-3.0 	-2.5 	-0.3 	-0.2 	-0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,UK	1.0 p	1.6 	2.5 	2.8 	3.1 	4.1 	4.7 	4.6 	4.5 	4.2 	5.2 	6.5 	7.7 	7.9 	6.4 	5.4 	5.4 	6.8 	8.7 	9.0 	8.0 	6.3 	4.4 	2.7 	1.5 	1.4 	0.8 	0.7 	0.6 	-0.4 	-1.4 	-2.3 	-2.1 	-1.1 	1.5 	6.0 	8.8 	8.4 	2.0 	-6.7 	-13.7 	-15.5 	-13.3 	-7.2 	-0.8 	3.6 	8.3 	10.5 	10.9 	10.9 	10.1 	8.2 	7.3 	6.3 	: 	: 	: 	: 
DW_EXST,RCH_Q,AT	3.0 	0.3 	1.2 	2.4 	0.9 	1.4 	2.1 	-0.7 	1.3 	3.4 	-0.1 	0.1 	2.5 	5.1 	-2.3 	4.8 	6.6 	-2.8 	1.5 	-1.0 	2.0 	2.3 	-3.4 	4.0 	0.8 	1.7 	-0.1 	3.1 	1.4 	2.4 	0.7 	2.2 	2.9 	0.3 	-0.1 	3.3 	3.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,BE	0.4 p	1.3 	0.0 	1.8 	0.6 	0.5 	-0.7 	3.0 	-0.3 	1.0 p	-0.4 p	2.7 p	1.1 p	-0.4 p	-1.0 p	2.1 p	1.5 p	-2.6 p	0.9 	0.9 	0.9 	-0.8 	-1.7 	1.7 	-0.3 	0.1 	-0.9 	1.5 	0.0 	0.8 	-0.4 	2.2 	1.1 	0.2 	0.5 	2.5 	1.1 	1.3 	-0.7 	3.0 	-0.9 	-1.3 	-1.3 	2.1 	1.5 	1.0 	0.6 	2.5 	2.3 	2.5 	0.8 	3.6 	2.9 	2.0 	2.4 	4.8 	3.0 	: 
DW_EXST,RCH_Q,BG	1.0 p	1.1 	1.4 	0.2 	2.3 	1.3 	2.0 	1.9 	4.2 	1.6 	2.8 	0.4 	3.7 	1.6 	3.3 	-1.3 	0.2 	1.5 b	0.7 	-0.1 	0.3 	0.2 	-0.1 	-0.1 	-0.1 	-0.9 	-0.7 	-0.5 	0.2 	-0.4 	-1.5 	-0.8 	-1.6 	-2.3 	-1.5 	-1.2 	-0.8 	-2.3 	-1.9 	-5.0 	-9.7 	-12.4 	-4.1 	3.1 	5.9 	6.8 	8.8 	7.5 	5.4 	9.3 	5.5 	4.6 	1.6 	4.7 	2.4 	2.9 	4.3 	: 
DW_EXST,RCH_Q,CY	0.5 p	0.1 	0.6 	1.6 	-2.3 	0.8 	0.7 	-1.2 	1.6 	2.2 	-2.2 	0.8 	-1.2 	0.7 	-1.2 	0.7 	0.8 	-1.8 	-3.0 	5.1 	-2.9 	-2.0 	2.4 	1.4 	2.4 	-8.1 	1.2 	0.2 	-0.8 	-3.5 	-2.4 	-0.1 	4.4 	-3.7 	2.4 	2.9 	-1.7 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
DW_EXST,RCH_Q,CZ	2.1 	1.9 p	2.1 p	2.3 	2.6 	2.0 p	1.1 p	1.7 	2.3 	2.8 p	4.7 p	2.7 	1.9 	1.4 p	1.1 p	1.3 	0.9 	1.0 	0.8 	0.8 	0.9 	1.2 	-0.2 	-0.1 	0.5 	0.0 	-0.4 	-0.1 	0.1 	-0.4 	-0.9 	-0.4 	0.5 	0.2 	0.2 	-0.1 	0.0 	0.1 	-0.3 	-1.0 	-3.6 	-2.8 	-0.8 	1.7 	4.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,DE	2.1 p	-0.1 p	1.5 	2.0 	2.1 	0.7 	2.2 	1.6 	2.1 	0.6 	1.4 	1.9 	3.1 	2.1 	1.3 	0.3 	2.4 	1.8 	-0.2 	0.4 	2.0 	0.8 	0.2 	-0.1 	2.0 	-0.2 	1.3 	1.6 	1.4 	0.7 	1.0 	-0.8 	0.9 	3.1 	-0.8 	-0.4 	1.8 	-1.3 	1.4 	-0.7 	1.8 	-0.6 	0.5 	-2.1 	0.2 	1.6 	0.1 	-0.2 	1.5 	-3.7 	0.8 	-1.9 	0.8 	1.6 	-3.1 	2.3 	-1.8 	: 
DW_EXST,RCH_Q,DK	2.6 p	2.2 	-2.2 	0.4 	1.4 	3.8 	-1.9 	1.3 	2.7 	2.2 	-1.6 	1.4 	2.5 	1.9 	0.0 	0.4 	3.4 	3.8 	-0.6 	-0.5 	3.8 	1.4 	-1.4 	0.2 	3.4 	1.1 	-0.5 	0.2 	1.5 	0.0 	-3.6 	-3.5 	2.2 	-1.0 	-1.1 	0.8 	2.2 	0.7 	-0.4 	0.9 	1.1 	-6.4 	-8.0 	-2.7 	0.7 	-1.1 	-2.1 	0.1 	1.1 	0.3 	-1.0 	1.9 	6.1 	7.1 	6.6 	7.7 	5.2 	: 
DW_EXST,RCH_Q,EE	1.8 	-0.7 	2.8 	2.4 	2.5 	-1.7 	1.7 	0.2 	2.0 	1.8 	2.0 	-0.4 	2.6 	0.7 	1.6 	-2.8 	6.8 	0.1 	-0.1 	-0.4 	4.4 	3.2 	1.5 	3.1 	6.7 	1.6 	0.2 	3.6 	1.8 	2.5 	0.8 	-2.2 	1.8 	7.6 	-0.5 	1.4 	-0.1 	6.8 	3.5 	-6.9 	-9.8 	-21.7 	-14.2 	-5.4 	1.6 	-3.7 	-3.2 	-2.9 	5.7 	0.6 	6.0 	5.0 	15.5 	15.8 	14.4 	7.9 	12.4 	: 
DW_EXST,RCH_Q,ES	1.4 	1.1 	0.3 	2.2 	2.6 	1.3 	1.1 	1.9 	1.9 	2.1 	0.7 	1.0 	1.4 	1.3 	-0.3 	0.7 	4.6 	-1.0 	0.3 	0.0 	1.9 	-0.4 	-1.3 	0.1 	-0.1 	-6.5 	-1.6 	-4.4 	-3.7 	-5.1 	-4.3 	-3.6 	-0.9 	-5.6 	0.3 	-2.2 	1.2 	-0.9 	0.1 	-0.5 	-0.1 	-3.0 	-4.8 	-3.6 	-1.7 	-1.0 	-2.5 	0.2 	2.7 	2.0 	2.3 	2.8 	5.2 	4.2 	: 	: 	: 	: 
DW_EXST,RCH_Q,FI	1.7 	-0.2 	-0.3 	-1.1 	1.5 	0.1 	-0.7 	-0.7 	1.4 	0.8 	-0.9 	-0.3 	1.6 	-0.2 	-0.6 	-0.2 	0.8 	0.1 	-1.0 	-0.5 	0.5 	-0.3 	-0.6 	-0.5 	0.7 	0.5 	0.1 	-0.3 	0.9 	1.7 	-1.3 	-0.9 	1.7 	1.6 	-0.2 	0.6 	1.8 	2.8 	3.0 	2.0 	2.9 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
DW_EXST,RCH_Q,FR	1.1 p	0.0 	-0.4 	2.5 	0.9 	0.2 	-0.7 	2.4 	1.0 	0.5 	-0.7 	2.2 	0.4 	-0.4 	-0.9 	1.6 	0.1 	-1.2 	-2.3 	0.7 	0.3 	-1.3 	-1.2 	0.8 	-0.2 	-1.3 	-1.6 	0.9 	0.0 	-1.4 	-1.2 	2.3 	2.1 	0.4 	1.1 	3.2 	2.1 	0.9 	0.2 	1.9 	-1.8 	-4.4 	-3.6 	0.5 	0.0 	-0.7 	0.7 	2.4 	1.8 	0.7 	0.7 	3.5 	3.1 	2.4 	1.8 	5.0 	4.4 	: 
DW_EXST,RCH_Q,HR	3.2 	3.0 	1.2 	2.9 	-0.1 	1.0 	3.6 	0.5 	3.6 	0.5 	-0.3 	1.1 	-0.5 	1.5 	0.8 	0.0 	-1.8 	1.0 	-0.8 	-1.9 	0.9 	0.0 	-1.0 	-0.1 	0.5 	-1.4 	-3.1 	-0.4 	-1.5 	-0.6 	-0.3 	0.6 	0.3 	-0.7 	-0.2 	-1.2 	0.2 	-2.4 	0.0 	-2.2 	-4.7 	-1.8 	-1.9 	1.8 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,HU	1.7 p	5.0 	2.7 	4.3 	2.9 	5.1 	1.9 	3.0 	2.5 	4.3 	1.5 	3.0 	2.3 	4.5 	1.7 	4.4 	5.6 	2.5 	2.4 	2.0 	2.0 	2.0 	-1.4 	0.2 	0.2 	0.3 	-2.0 	-1.0 	-3.6 	1.0 	-0.6 	-1.3 	-0.8 	-0.3 	-1.9 	-0.2 	-0.9 	3.1 	-3.0 	-1.2 	-3.3 	-0.7 	-2.2 	0.4 	1.2 	-1.8 	1.1 	4.7 	2.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IE	0.4 p	-1.4 	0.9 	2.5 	2.1 	1.3 	2.8 	5.9 	2.3 	1.3 	2.7 	5.2 	1.2 	0.2 	1.3 	3.0 	2.0 	-0.5 	3.0 	8.6 	6.0 	1.8 	3.4 	6.2 	-0.2 	-3.2 	0.8 	1.7 	-2.1 	-4.3 	-5.0 	-6.6 	-6.1 	-5.1 	-4.4 	-2.3 	-3.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IS	0.7 	0.7 	1.2 	2.1 	1.2 	1.4 	1.0 	4.2 	6.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IT	1.5 p	-0.6 	-0.3 	-1.0 	0.6 	0.0 	-0.9 	-0.5 	0.4 	-0.5 	-1.0 	0.1 	0.8 	0.1 	-0.8 	0.2 	0.4 	-2.3 	-1.9 	-1.4 	-1.3 	-1.3 	-1.5 	-1.9 	-0.4 	-3.5 	-3.1 	-2.3 	-1.4 	-1.0 	-1.3 	-0.7 	2.3 	-0.6 	-0.8 	0.6 	1.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,LT	2.3 	2.7 	0.9 	0.8 	2.7 	2.5 	0.1 	1.9 	3.1 	1.4 	1.9 	2.4 	3.7 	1.0 	-1.0 	1.4 	3.9 	0.1 	-2.6 	1.9 	3.6 	1.6 	3.0 	-1.5 	2.4 	1.2 	-0.4 	-1.0 	0.0 	-1.8 	0.6 	0.5 	-0.4 	3.9 	1.7 	-0.7 	3.8 	-4.0 	-1.0 	-1.1 	-6.9 	-20.8 	-10.1 	-1.3 	2.9 	0.7 	1.1 	6.6 	6.5 	9.9 	10.0 	8.5 	1.2 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,LU	3.8 	2.0 	3.5 	1.6 	1.9 	3.6 	0.5 	-0.3 	2.5 	0.9 	1.1 	3.1 	1.9 	2.3 	-0.6 	0.9 	2.0 	0.6 	1.0 	0.4 	2.2 	1.9 	0.8 	0.2 	1.4 	-0.6 	2.9 	-0.1 	1.6 	-1.8 	5.6 	-2.0 	2.8 	0.4 	2.6 	0.7 	-1.4 	4.3 	2.6 	-1.6 	1.8 	-4.3 	-1.5 	-0.1 	3.2 	-1.0 	-2.0 	4.3 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
